Stations_id,Datenquelle,Jan.,Feb.,M�rz,Apr.,Mai,Jun.,Jul.,Aug.,Sept.,Okt.,Nov.,Dez.,Jahr
1,46,       -.6,        .6,       4.5,       7.9,      12.9,      15.8,18,      17.5,      13.5,       8.5,       3.2,        .6,       8.5
3,51,3,       3.2,       6.1,       8.7,      13.2,      15.7,      17.9,      17.7,      14.4,      10.5,       6.2,       4.1,10
44,51,       1.5,       1.7,       4.7,       7.8,      12.6,      14.9,17,      16.8,      13.3,       9.3,       5.1,       2.7,       8.9
52,51,1,       1.2,4,       7.2,12,      14.8,      16.8,      16.6,13,       8.9,       4.6,2,       8.5
61,46,      -1.4,       -.2,       4.3,       8.2,      13.6,      16.1,18,      17.7,      13.5,       8.2,3,        .1,       8.4
70,46,      -1.3,       -.5,       2.8,       5.9,      10.9,      13.7,16,      15.6,      11.8,       7.3,       2.2,       -.2,7
71,46,      -1.2,       -.4,       2.9,       5.9,      10.8,      13.7,16,      15.5,      11.9,       7.5,       2.4,0,       7.1
72,46,      -1.3,       -.7,       2.5,       5.4,      10.4,      13.3,      15.6,      15.2,      11.5,       7.2,       2.2,       -.2,       6.7
73,51,      -1.6,       -.3,4,       7.9,      13.3,      15.9,      17.7,      17.3,      13.2,       8.2,3,       -.1,       8.2
78,51,       1.5,       1.7,       4.6,       7.7,      12.4,15,      17.1,      16.8,      13.1,       9.1,5,       2.7,       8.8
91,46,       -.1,        .3,       3.9,7,      11.8,      14.6,      16.7,      16.3,      12.7,       8.2,       3.6,       1.2,8
93,46,        .2,        .6,       4.3,       7.4,      12.3,      15.1,      17.1,      16.8,      13.1,       8.4,       3.9,       1.4,       8.4
96,46,        .1,        .7,       3.8,       7.9,      13.3,16,18,      17.7,      13.6,       9.1,       4.3,       1.6,       8.8
98,46,      -1.2,       -.9,2,5,       9.9,      12.4,      14.5,      14.5,11,       6.7,       2.2,       -.1,       6.3
116,46,        .3,        .9,       4.6,       8.1,      13.2,16,      18.2,      17.9,14,       9.2,       4.3,       1.6,9
125,46,       -.9,       -.2,       3.2,       6.3,      11.5,      14.2,      16.5,      16.2,      12.6,8,       2.7,        .3,       7.5
129,46,       -.1,        .5,       3.4,       7.1,      12.2,      15.3,      17.3,      17.2,      13.3,       8.8,       4.1,       1.4,       8.4
131,46,       -.3,        .4,       3.8,       7.3,      12.6,      15.4,      17.4,      17.3,      13.3,       8.7,       3.7,       1.1,       8.4
132,46,      -2.7,-2,       1.7,       5.5,      10.7,      13.4,      15.4,      15.4,      11.5,       6.6,       1.1,      -1.5,       6.2
142,51,      -1.3,       -.2,       3.7,       7.2,      12.4,      15.2,      17.1,      16.8,      12.8,8,       2.8,        .1,       7.8
150,51,       1.2,       1.9,       5.9,       9.1,      13.9,      16.6,      18.8,      18.5,      14.4,       9.3,       4.7,       2.4,       9.7
151,51,      -1.4,       -.4,4,       7.6,      12.9,      15.9,      17.9,      17.4,      12.9,       7.8,       2.7,        .1,       8.1
154,46,      -1.2,0,4,       7.4,      12.7,      15.4,      17.4,17,      13.2,       8.3,       2.9,0,       8.1
161,46,       2.2,       2.7,       6.3,       9.4,      14.1,      16.9,19,      18.6,      14.7,      10.1,       5.6,       3.3,      10.2
164,51,       -.2,        .4,       3.7,       7.7,13,      15.9,      17.9,      17.6,      13.5,       8.8,       3.9,       1.3,       8.6
167,46,        .1,        .5,       3.3,7,      12.1,      15.3,      17.3,      17.1,      13.3,9,       4.2,       1.6,       8.4
169,46,      -1.2,       -.8,       2.4,       5.9,      11.2,      13.7,      15.9,      15.9,      11.9,       7.4,       2.5,0,       7.1
172,46,       -.3,        .1,       3.1,       6.3,      11.2,      13.6,      15.6,      15.8,      12.2,       8.1,       3.3,1,       7.5
174,46,1,       1.8,       5.4,       8.5,      13.3,      16.1,      18.3,      17.9,14,       9.3,       4.4,       2.2,       9.4
175,46,       -.7,        .2,       4.1,       7.5,      12.6,      15.4,      17.5,      17.3,      13.2,       8.3,       3.1,        .6,       8.3
177,46,       -.7,        .2,4,       7.5,      12.6,      15.4,      17.6,      17.2,      13.2,       8.2,       3.2,        .6,       8.3
183,44,        .8,        .9,       2.6,       5.5,       9.9,      13.9,      16.5,      16.9,      13.6,       9.6,       5.2,       2.4,       8.2
184,46,        .4,1,       4.3,8,      13.3,      16.2,      18.1,      17.8,      13.7,9,       4.4,       1.7,9
185,46,       1.1,       1.3,       3.6,       6.7,      11.4,      14.5,      16.5,      16.5,      13.2,       9.3,       5.1,       2.5,       8.5
186,51,       1.1,       1.4,       4.4,       7.1,12,      14.5,      16.5,      15.9,      12.5,       8.6,       4.7,       2.4,       8.4
191,46,        .2,        .9,       4.8,       8.2,      12.9,      15.9,      17.9,      17.6,      13.6,       8.7,4,       1.5,       8.8
193,51,        .3,        .4,4,       6.9,      11.7,      14.8,      16.9,      16.5,      12.6,       8.5,       4.2,       1.8,       8.2
198,51,0,        .6,       4.4,       8.2,      13.2,16,      18.2,      18.1,14,9,4,       1.4,       8.9
202,46,       1.4,       2.1,       5.9,       9.2,      14.1,      16.9,19,      18.5,      14.5,       9.6,       4.9,       2.6,       9.9
207,46,        .8,       1.2,       4.6,       8.3,      13.3,      16.2,      18.2,      17.9,      13.9,       9.3,       4.6,       2.1,       9.2
211,46,        .6,       1.2,       4.8,8,      12.8,      15.7,      17.7,      17.1,      13.2,       8.6,       4.1,       1.9,       8.8
217,51,       -.7,        .1,       3.7,       6.7,      11.8,      14.5,      16.7,      16.5,      12.9,       8.3,3,        .4,       7.8
221,46,      -1.1,       -.1,       3.9,       7.4,      12.7,      15.4,      17.5,      17.1,      13.1,       8.1,       2.9,        .2,       8.1
222,46,       -.4,        .1,       3.5,       6.7,12,      14.7,      16.7,      16.5,      12.8,       8.4,       3.5,1,8
231,46,       -.7,        .3,       4.4,       7.6,      12.8,      15.6,      17.7,      17.3,      13.3,       8.5,       3.2,        .6,       8.4
232,51,       -.8,        .2,       4.1,       7.5,      12.7,      15.5,      17.5,      17.2,      13.3,       8.3,       3.1,        .6,       8.2
243,51,       1.6,       1.8,       4.4,       7.3,      11.8,      14.4,      16.5,      16.3,      13.2,       9.4,       5.2,       2.9,       8.7
257,51,       1.6,       2.6,6,       8.9,      13.6,      16.6,      18.7,      18.3,      14.4,       9.9,5,3,       9.8
259,51,       1.8,       2.5,       6.3,       9.2,      13.6,      16.6,19,      18.7,      14.6,      10.1,       5.2,3,10
268,46,       -.2,        .5,       3.4,       6.3,      11.2,14,      16.4,      16.2,      12.4,       8.2,       3.1,1,       7.7
273,46,       -.4,        .6,       4.4,       7.9,13,      15.9,18,      17.5,      13.6,       8.8,       3.5,        .8,       8.6
282,51,       -.3,        .6,       4.4,       8.1,      13.3,      16.1,      18.1,      17.6,      13.3,       8.4,       3.6,       1.2,       8.6
283,46,       -.5,        .3,       4.2,       7.7,      12.9,      15.7,      17.7,      17.2,      13.2,       8.3,       3.4,        .9,       8.4
284,46,       -.5,        .2,       4.1,       7.7,13,      15.7,      17.8,      17.2,      13.2,       8.3,       3.3,        .9,       8.4
288,46,        .1,        .6,       3.4,       7.1,      12.2,      15.4,      17.4,      17.3,      13.4,9,       4.3,       1.5,       8.5
294,46,1,       1.4,       4.5,       7.7,      12.6,15,      17.1,      17.1,      13.4,       9.2,       4.7,       2.2,       8.8
298,46,        .4,        .7,       3.2,       6.7,      11.5,      14.9,17,      16.9,      13.2,9,       4.6,       1.9,       8.3
303,46,        .3,1,       4.6,       8.5,      13.9,      16.7,      18.6,      18.3,14,       9.3,       4.4,       1.6,       9.3
314,51,        .2,        .9,       4.3,8,      13.2,      16.2,      18.1,      17.9,      14.2,       9.6,       4.4,       1.6,9
320,51,       -.8,        .1,4,       7.5,      12.6,      15.6,      17.5,      16.9,13,       8.1,       3.2,        .8,       8.1
326,46,       1.8,       2.2,       5.3,       8.3,13,      15.6,      17.6,      17.4,      13.8,       9.5,       5.3,       3.1,       9.4
327,44,1,       1.2,       4.1,       7.3,      12.1,      14.8,      16.9,      16.5,      13.1,       9.3,5,       2.5,       8.7
